"Season","Name","Team","G","PA","BB%","K%","AVG","OBP","SLG","wOBA","xwOBA","wRC+","WAR","playerid"
"2010","Vladimir Guerrero","TEX","152","643","5.4%","9.3%",".300",".345",".496",".364","","119","1.1","778"
"1992","Mark Grace","CHC","158","689","10.4%","5.2%",".307",".380",".430",".364","","128","4.4","56"
"1941","Bobby Doerr","BOS","132","549","7.8%","7.8%",".282",".339",".450",".363","","102","2.1","1003355"
"1890","Al Myers","PHI","117","554","10.3%","8.3%",".277",".365",".378",".363","","112","3.2","1009416"
"2014","Justin Upton","ATL","154","641","9.4%","26.7%",".270",".342",".491",".363","","133","3.7","5222"
"2010","Vernon Wells","TOR","157","646","7.7%","13.0%",".273",".331",".515",".363","","126","3.7","1326"
"1996","Carlos Delgado","TOR","138","563","10.3%","24.7%",".270",".353",".490",".363","","111","1.6","1297"
"1983","Chet Lemon","DET","145","573","9.4%","12.2%",".255",".350",".464",".363","","126","5.6","1007518"
"1991","Robin Ventura","CHW","157","705","11.3%","9.5%",".284",".367",".442",".363","","128","5.4","854"
"2018","Jose Altuve","HOU","137","599","9.2%","13.2%",".316",".386",".451",".363","","135","4.9","5417"
"1888","Denny Lyons","PHA","111","504","8.1%","",".296",".363",".406",".363","","135","4.3","1007880"
"1899","Claude Ritchey","LOU","147","616","8.0%","",".300",".370",".377",".363","","107","2.7","1010987"
"1907","Dave Brain","BSN","133","552","5.3%","",".279",".324",".420",".363","","127","4.6","1001335"
"2003","Jason Varitek","BOS","142","521","9.8%","20.3%",".273",".351",".512",".363","","120","3.8","217"
"1980","Carlton Fisk","BOS","131","530","6.8%","11.7%",".289",".353",".467",".363","","118","3.8","1004101"
"1897","Cap Anson","CHI","114","497","12.1%","",".285",".379",".361",".363","","100","1.0","1000272"
"1936","Tony Cuccinello","BSN","150","641","9.0%","7.6%",".308",".374",".402",".363","","121","5.5","1002848"
"2013","Allen Craig","STL","134","563","7.1%","17.8%",".315",".373",".457",".363","","134","2.5","3433"
"1916","Heinie Groh","CIN","149","652","12.9%","5.2%",".269",".370",".374",".363","","130","5.4","1005078"
"2021","Brandon Lowe","TBR","149","615","11.1%","27.2%",".247",".340",".523",".363","","137","5.2","18882"
"2006","Adam Dunn","CIN","160","683","16.4%","28.4%",".234",".365",".490",".363","","115","1.5","319"
"2003","Jason Kendall","PIT","150","666","7.4%","6.0%",".325",".399",".416",".363","","119","4.2","993"
"2018","Rhys Hoskins","PHI","153","660","13.2%","22.7%",".246",".354",".496",".363","","128","2.9","16472"
"1973","Gary Matthews","SFG","148","605","9.6%","13.7%",".300",".367",".444",".363","","123","3.5","1008255"
"1950","Jerry Priddy","DET","157","729","13.0%","13.0%",".277",".376",".401",".363","","100","4.7","1010533"
"1946","Sid Gordon","NYG","135","520","11.5%","5.2%",".293",".380",".378",".363","","116","2.4","1004877"
"1886","Jim O'Rourke","NYG","105","479","8.1%","4.4%",".309",".365",".402",".363","","130","3.8","1009839"
"2007","Josh Willingham","FLA","144","604","10.9%","20.2%",".265",".364",".463",".363","","117","1.8","2103"
"1921","Aaron Ward","NYY","153","635","6.6%","10.7%",".306",".363",".423",".363","","100","3.7","1013602"
"1881","Tom York","PRO","85","345","8.4%","7.5%",".304",".362",".427",".363","","140","2.5","1014355"
"1969","Tommie Agee","NYM","149","635","9.3%","21.6%",".271",".342",".464",".363","","127","5.4","1000080"
"1981","Bob Horner","ATL","79","336","9.5%","11.6%",".277",".345",".460",".363","","125","1.8","1006026"
"2015","Buster Posey","SFG","150","623","9.0%","8.3%",".318",".379",".470",".363","","135","6.8","9166"
"1970","Don Money","PHI","120","507","8.5%","13.4%",".295",".361",".463",".363","","119","2.6","1009052"
"1874","George Wright","BSN","60","318","1.6%","1.9%",".329",".340",".476",".363","","136","3.0","1014277"
"2021","Yuli Gurriel","HOU","143","605","9.8%","11.2%",".319",".383",".462",".363","","134","3.4","19198"
"1902","Bill Coughlin","WAS","123","506","5.1%","",".301",".348",".414",".363","","108","2.5","1002668"
"1975","George Brett","KCR","159","697","6.6%","6.9%",".308",".353",".456",".363","","124","5.4","1001400"
"1902","Jimmy Slagle","CHI","115","514","10.3%","",".315",".387",".357",".363","","135","4.6","1012048"
"1911","John Hummel","BRO","137","556","12.1%","11.9%",".270",".360",".392",".363","","113","3.1","1006180"
"1920","Bucky Harris","WAS","136","592","6.9%","6.1%",".300",".377",".381",".363","","107","1.2","1005402"
"1888","Oyster Burns","- - -","131","571","6.7%","",".293",".345",".435",".363","","135","4.3","1001716"
"1977","Ellis Valentine","MON","127","541","5.5%","10.7%",".293",".331",".504",".363","","123","3.7","1013326"
"1993","Phil Plantier","SDP","138","536","11.4%","23.1%",".240",".335",".509",".363","","121","2.1","1010388"
"2019","Tim Anderson","CHW","123","518","2.9%","21.0%",".335",".357",".508",".363","","128","3.4","15172"
"2012","Paul Goldschmidt","ARI","145","587","10.2%","22.1%",".286",".359",".490",".363","","124","2.8","9218"
"1912","Steve Evans","STL","135","559","6.4%","9.1%",".283",".353",".403",".363","","107","1.6","1003870"
"1955","Earl Torgeson","- - -","136","553","16.8%","8.9%",".278",".396",".396",".363","","118","3.2","1013124"
"1887","John Ward","NYG","129","578","5.0%","2.1%",".338",".375",".391",".363","","117","7.1","1013615"
"1946","Jim Russell","PIT","146","591","11.3%","9.1%",".277",".362",".403",".363","","114","2.2","1011315"
"2009","Nelson Cruz","TEX","128","515","9.5%","22.9%",".260",".332",".524",".363","","114","3.0","2434"
"1928","Jimmy Welsh","NYG","124","526","5.5%","5.7%",".307",".357",".431",".363","","106","2.2","1013773"
"1985","Mike Davis","OAK","154","604","8.3%","16.4%",".287",".348",".484",".363","","130","4.9","1003070"
"1974","Elliott Maddox","NYY","137","550","12.5%","8.7%",".303",".395",".386",".363","","132","4.7","1007947"
"1900","Sam Mertes","CHI","127","548","7.7%","",".295",".356",".407",".363","","110","2.4","1008794"
