"Season","Name","Team","G","PA","BB%","K%","AVG","OBP","SLG","wOBA","xwOBA","wRC+","WAR","playerid"
"1974","John Ellis","CLE","128","513","6.2%","10.3%",".285",".330",".421",".341","","114","2.1","1003750"
"1975","Al Oliver","PIT","155","666","3.8%","11.0%",".280",".309",".454",".341","","111","3.2","1009773"
"2002","Todd Walker","CIN","155","675","7.4%","12.0%",".299",".353",".431",".341","","104","2.2","359"
"1887","John Coleman","PIT","115","507","6.1%","7.9%",".293",".337",".396",".341","","109","1.4","1002424"
"1989","Ivan Calderon","CHW","157","676","6.4%","13.9%",".286",".332",".437",".341","","113","1.8","1001825"
"2007","Brendan Harris","TBD","137","576","7.3%","16.7%",".286",".343",".434",".341","","107","2.4","2178"
"1943","Tommy Holmes","BSN","152","697","8.3%","2.9%",".270",".334",".378",".341","","104","3.1","1005980"
"1953","Harvey Kuenn","DET","155","731","6.8%","4.2%",".308",".356",".386",".341","","99","3.3","1007200"
"1924","Joe Dugan","NYY","148","671","4.6%","4.9%",".302",".341",".390",".341","","88","1.6","1003537"
"2019","Eduardo Escobar","ARI","158","699","7.2%","18.6%",".269",".320",".511",".341","","108","3.6","6153"
"1994","Charlie Hayes","COL","113","463","7.8%","15.3%",".288",".348",".433",".341","","90","0.9","1005525"
"1921","Jake Daubert","CIN","136","576","4.2%","2.8%",".306",".341",".399",".341","","98","1.2","1003005"
"1915","Red Smith","BSN","157","636","10.5%","7.7%",".264",".345",".352",".341","","114","4.0","1012197"
"1887","Bill McClellan","BRO","136","634","12.6%","",".263",".363",".334",".341","","100","1.1","1008391"
"1999","Troy Glaus","ANA","154","631","11.3%","22.7%",".240",".331",".450",".341","","96","2.4","15"
"1889","Paul Radford","CLE","136","584","15.6%","6.3%",".238",".365",".308",".341","","99","1.8","1010640"
"1981","Claudell Washington","ATL","85","349","4.3%","13.5%",".291",".328",".425",".341","","110","1.3","1013654"
"2018","Jurickson Profar","TEX","146","594","9.1%","14.8%",".254",".335",".458",".341","","107","2.8","10815"
"1889","Duke Farrell","CHI","101","449","9.1%","4.7%",".248",".318",".410",".341","","92","0.8","1003942"
"1883","Jack Farrell","PRO","95","435","3.4%","4.8%",".305",".329",".436",".341","","125","5.8","1003944"
"1901","John Farrell","WAS","135","614","8.5%","",".272",".336",".386",".341","","98","1.9","1003947"
"1949","Don Kolloway","- - -","130","542","9.0%","4.8%",".292",".359",".355",".341","","89","0.8","1007087"
"1952","Harry Simpson","CLE","146","607","9.2%","13.5%",".266",".337",".396",".341","","107","2.1","1011995"
"2016","Buster Posey","SFG","146","614","10.4%","11.1%",".288",".362",".434",".341","","114","6.7","9166"
"1923","Carson Bigbee","PIT","123","555","7.7%","2.7%",".299",".355",".363",".341","","91","1.3","1000956"
"1973","John Milner","NYM","129","519","11.9%","16.2%",".239",".329",".432",".341","","114","1.2","1008965"
"1937","Doc Cramer","BOS","133","616","5.7%","2.3%",".305",".351",".384",".341","","82","0.1","1002727"
"1981","Don Baylor","CAL","103","432","9.7%","11.8%",".239",".322",".427",".341","","119","1.3","1000700"
"1897","Jack O'Connor","CLE","103","432","6.0%","",".290",".338",".378",".341","","89","0.3","1009713"
"1904","Fred Odwell","CIN","129","515","5.0%","",".284",".333",".380",".341","","108","3.2","1009735"
"1966","Rocky Colavito","CLE","151","614","12.4%","13.2%",".238",".336",".432",".341","","122","2.5","1002404"
"1917","Wally Pipp","NYY","155","668","9.0%","9.9%",".244",".320",".380",".341","","111","3.0","1010365"
"2005","Jorge Posada","NYY","142","546","12.1%","17.2%",".262",".352",".430",".341","","110","3.3","841"
"1916","Heinie Zimmerman","- - -","147","588","3.9%","7.3%",".286",".318",".390",".341","","115","3.7","1014444"
"1947","Jim Russell","PIT","128","548","11.5%","10.6%",".253",".343",".381",".341","","90","1.3","1011315"
"2007","Andre Ethier","LAD","153","507","9.1%","13.4%",".284",".350",".452",".341","","104","1.6","6265"
"2014","Starlin Castro","CHC","134","569","6.2%","17.6%",".292",".339",".438",".341","","117","3.2","4579"
"1886","Fred Dunlap","- - -","122","525","8.4%","9.7%",".274",".335",".387",".341","","117","3.9","1003566"
"1896","Joe Sullivan","- - -","99","457","5.9%","5.3%",".273",".349",".350",".341","","89","-0.2","1012697"
"1913","Dick Hoblitzel","CIN","137","558","6.3%","4.7%",".285",".334",".376",".341","","101","1.1","1005871"
"2012","Justin Upton","ARI","150","628","10.0%","19.3%",".280",".355",".430",".341","","109","2.5","5222"
"1924","Muddy Ruel","WAS","149","599","10.4%","3.3%",".283",".370",".331",".341","","90","2.1","1011290"
"1902","Duff Cooley","BSN","135","596","5.7%","",".296",".339",".372",".341","","113","2.6","1002579"
"1947","Del Ennis","PHI","139","581","6.4%","8.8%",".275",".325",".410",".341","","94","1.5","1003786"
"1957","Eddie Yost","WAS","110","492","14.8%","10.0%",".251",".370",".372",".341","","109","0.8","1014357"
"1977","Jim Sundberg","TEX","149","533","9.9%","14.4%",".291",".365",".389",".341","","110","4.7","1012724"
"1886","Curt Welch","STL","138","606","4.8%","",".281",".332",".393",".341","","115","4.5","1013751"
"2002","Mike Cameron","SEA","158","640","12.3%","27.5%",".239",".340",".442",".341","","113","5.5","1070"
"1890","Tim Shinnick","LOU","133","563","11.0%","",".256",".348",".339",".341","","108","2.6","1011903"
"2017","Corey Dickerson","TBR","150","629","5.6%","24.2%",".282",".325",".490",".341","","116","2.6","10762"
"2017","Nick Castellanos","DET","157","665","6.2%","21.4%",".272",".320",".490",".341","","111","1.5","11737"
"2020","Kevin Pillar","- - -","54","223","5.8%","18.4%",".288",".336",".462",".341","","106","1.1","12434"
"1896","Ed Cartwright","WAS","133","561","9.6%","7.8%",".277",".350",".353",".341","","87","0.2","1002024"
"1989","Kevin McReynolds","NYM","148","599","7.7%","12.4%",".272",".326",".450",".341","","121","3.4","1008690"
"1973","Lou Brock","STL","160","727","9.8%","15.4%",".297",".364",".398",".341","","110","2.5","1001458"
"1946","Bob Elliott","PIT","140","559","11.4%","7.9%",".263",".351",".358",".341","","100","1.6","1003733"
"2021","Trevor Story","COL","142","595","8.9%","23.4%",".251",".329",".471",".341","","100","3.5","12564"
"1983","Tony Pena","PIT","151","580","5.3%","12.6%",".301",".338",".435",".341","","111","3.8","1010153"
"1980","Gorman Thomas","MIL","162","697","8.3%","24.4%",".239",".303",".471",".341","","111","3.4","1012979"
"1915","George Anderson","BKF","136","580","9.0%","9.3%",".264",".342",".356",".341","","105","1.4","1000227"
"1977","Butch Hobson","BOS","159","637","4.2%","25.4%",".265",".300",".489",".341","","101","1.5","1005872"
"2014","Christian Yelich","MIA","144","660","10.6%","20.8%",".284",".362",".402",".341","","118","4.1","11477"
"2006","Luis Gonzalez","ARI","153","668","10.3%","8.7%",".271",".352",".444",".341","","98","0.9","55"
"1890","Pop Smith","BSN","134","552","14.5%","14.7%",".229",".353",".322",".341","","98","2.5","1012193"
"2010","Mike Napoli","LAA","140","510","8.2%","26.9%",".238",".316",".468",".341","","115","2.1","3057"
"1918","Jimmy Austin","SLB","110","442","12.0%","7.2%",".264",".359",".324",".341","","107","2.0","1000372"
"2001","Bubba Trammell","SDP","142","546","8.8%","14.3%",".261",".330",".467",".341","","110","2.3","1057"
"2021","Jake Cronenworth","SDP","152","643","8.6%","14.0%",".266",".340",".460",".341","","116","4.4","18036"
"1955","Hector Lopez","KCA","128","527","6.3%","11.0%",".290",".337",".422",".341","","100","2.2","1007755"
"2009","Orlando Hudson","LAD","149","631","9.8%","15.7%",".283",".357",".417",".341","","109","2.8","1307"
"2020","Franmil Reyes","CLE","59","241","10.0%","28.6%",".275",".344",".450",".341","","116","0.7","14566"
"2008","Ryan Theriot","CHC","149","661","11.0%","8.8%",".307",".387",".359",".341","","99","3.0","3811"
"1986","Jose Canseco","OAK","157","682","9.5%","25.7%",".240",".318",".457",".341","","115","2.9","1001918"
"1961","Dick Howser","KCA","158","719","12.8%","5.3%",".280",".377",".362",".341","","100","2.1","1006110"
"2011","Carlos Lee","HOU","155","653","9.0%","9.2%",".275",".342",".446",".341","","115","2.9","243"
"1951","Red Schoendienst","STL","135","602","5.8%","3.8%",".289",".335",".405",".341","","95","2.9","1011600"
"2015","Francisco Cervelli","PIT","130","510","9.0%","18.4%",".295",".370",".401",".341","","117","5.9","5275"
"2007","Freddy Sanchez","PIT","147","653","4.9%","11.6%",".304",".343",".442",".341","","102","2.9","1624"
"1914","Bob Bescher","NYG","135","571","7.9%","8.4%",".270",".336",".365",".341","","111","3.0","1000921"
"1873","Paul Hines","WSN","39","182","0.5%","0.5%",".331",".335",".414",".341","","113","0.4","1005845"
"2004","Coco Crisp","CLE","139","538","6.7%","12.8%",".297",".344",".446",".341","","107","4.0","1572"
"1938","Dick Bartell","NYG","127","553","9.9%","10.8%",".262",".347",".376",".341","","102","3.9","1000621"
"1975","Dave Cash","PHI","162","766","7.3%","4.4%",".305",".356",".388",".341","","105","4.5","1002041"
"1953","Steve Bilko","STL","154","641","10.9%","19.5%",".251",".334",".412",".341","","93","0.6","1000966"
"1929","Russ Scarritt","BOS","151","593","5.7%","6.4%",".294",".337",".411",".341","","92","0.5","1011499"
"1972","Willie Davis","LAD","149","654","4.1%","9.3%",".289",".317",".441",".341","","119","5.5","1003088"
"1883","Pete Gillespie","NYG","98","420","2.1%","6.4%",".314",".329",".436",".341","","123","3.0","1004715"
"2013","Ian Desmond","WSN","158","655","6.6%","22.1%",".280",".331",".453",".341","","116","4.3","6885"
"1974","Dan Driessen","CIN","150","523","9.2%","11.9%",".281",".347",".400",".341","","112","2.0","1003501"
"2000","Damion Easley","DET","126","535","10.3%","14.8%",".259",".350",".416",".341","","100","4.0","464"
"1977","Ruppert Jones","SEA","160","664","8.3%","18.1%",".263",".324",".454",".341","","108","3.7","1006588"
"1914","Ray Morgan","WAS","147","577","10.7%","5.9%",".257",".352",".340",".341","","110","3.0","1009182"
"1902","Shad Barry","PHI","138","606","7.3%","",".287",".343",".363",".341","","117","1.9","1000619"
"1979","Buddy Bell","TEX","162","720","4.2%","6.3%",".299",".327",".451",".341","","108","6.7","1000799"
"1968","Matty Alou","PIT","146","598","4.5%","4.3%",".332",".362",".396",".341","","128","4.4","1000179"
"1951","Dave Philley","- - -","132","565","11.5%","7.3%",".262",".351",".373",".341","","95","0.9","1010285"
"1975","Dave Winfield","SDP","143","591","11.7%","13.9%",".267",".354",".403",".341","","113","2.8","1014127"
"1960","Brooks Robinson","BAL","152","651","5.4%","7.5%",".294",".329",".440",".341","","110","4.9","1011055"
"1979","Dave Concepcion","CIN","149","666","9.6%","11.0%",".281",".348",".415",".341","","110","4.6","1002494"
"1997","Mickey Morandini","PHI","150","640","9.7%","14.2%",".295",".371",".380",".341","","101","1.3","1009151"
"1936","Lou Finney","PHA","151","703","6.7%","3.1%",".302",".351",".377",".341","","81","-0.6","1004059"
"1979","Jerry Martin","CHC","150","579","6.6%","14.7%",".272",".321",".453",".341","","101","0.3","1008174"
"1981","Brian Downing","CAL","93","370","12.4%","9.5%",".249",".351",".379",".341","","119","1.3","1003451"
"2018","Corey Dickerson","PIT","135","533","3.9%","15.0%",".300",".330",".474",".341","","114","2.7","10762"
"1990","Barry Larkin","CIN","158","681","7.2%","7.2%",".301",".358",".396",".341","","107","5.4","335"
"2014","Hunter Pence","SFG","162","708","7.3%","18.4%",".277",".332",".445",".341","","122","4.0","8252"
"2004","Mike Cameron","NYM","140","562","10.1%","25.4%",".231",".319",".479",".341","","105","3.8","1070"
"2021","Adam Frazier","- - -","155","639","7.5%","10.8%",".305",".368",".411",".341","","114","3.4","15223"
"1977","Amos Otis","KCR","142","561","12.7%","15.7%",".251",".342",".433",".341","","109","1.7","1009893"
"1914","Stuffy McInnis","PHA","149","628","3.0%","4.3%",".314",".341",".368",".341","","111","3.0","1008569"
"1881","Joe Start","PRO","79","357","2.5%","2.0%",".328",".345",".397",".340","","127","2.6","1012436"
"1992","Andre Dawson","CHC","143","582","5.2%","12.0%",".277",".316",".456",".340","","113","2.7","1003091"
"2009","Erick Aybar","LAA","137","556","5.4%","9.7%",".312",".353",".423",".340","","105","3.8","4082"
"2001","Miguel Tejada","OAK","162","683","6.3%","13.0%",".267",".326",".476",".340","","109","3.7","941"
"1917","Heinie Zimmerman","NYG","150","620","2.6%","6.9%",".297",".317",".391",".340","","119","5.2","1014444"
"2013","Andre Ethier","LAD","142","553","11.0%","17.2%",".272",".360",".423",".340","","120","3.4","6265"
"2007","J.J. Hardy","MIL","151","638","6.3%","11.4%",".277",".323",".463",".340","","103","3.9","3797"
"1906","Bobby Wallace","SLB","139","551","10.5%","",".258",".344",".345",".340","","119","5.5","1013542"
"1974","Doug Rader","HOU","152","601","10.0%","21.8%",".257",".334",".415",".340","","113","3.6","1010638"
"1927","Lance Richbourg","BSN","115","491","4.5%","6.1%",".309",".342",".389",".340","","99","1.3","1010921"
"1995","Mickey Morandini","PHI","127","550","7.6%","14.5%",".283",".350",".417",".340","","103","2.5","1009151"
"1987","Benito Santiago","SDP","146","572","2.8%","19.6%",".300",".324",".467",".340","","109","3.1","1130"
"2020","Colin Moran","PIT","52","200","9.5%","26.0%",".247",".325",".472",".340","","113","0.5","16909"
"1952","Richie Ashburn","PHI","154","701","10.7%","4.3%",".282",".362",".357",".340","","104","2.9","1000335"
"1942","Buddy Blair","PHA","137","523","5.7%","5.7%",".279",".325",".397",".340","","99","1.1","1001028"
"1962","Eddie Bressoud","BOS","153","657","7.0%","18.0%",".277",".329",".444",".340","","101","4.5","1001397"
"1910","Heinie Wagner","BOS","142","557","7.9%","",".273",".335",".360",".340","","116","3.7","1013483"
"2016","Francisco Lindor","CLE","158","684","8.3%","12.9%",".301",".358",".435",".340","","109","5.5","12916"
"2021","Luis Urias","MIL","150","570","11.1%","20.4%",".249",".345",".445",".340","","111","2.7","16622"
"1971","Al Oliver","PIT","143","573","4.7%","12.6%",".282",".317",".446",".340","","116","3.1","1009773"
"1933","Pete Fox","DET","128","565","4.1%","6.7%",".288",".320",".424",".340","","93","1.4","1004283"
"1899","Dick Padden","WAS","134","500","4.8%","",".277",".337",".366",".340","","92","0.2","1009942"
"1998","Travis Lee","ARI","146","630","10.6%","19.5%",".269",".346",".429",".340","","102","1.0","958"
"1934","Travis Jackson","NYG","137","574","6.4%","12.4%",".268",".316",".436",".340","","100","3.8","1006314"
"2013","Alfonso Soriano","- - -","151","626","5.8%","24.9%",".255",".302",".489",".340","","115","2.6","847"
"1993","Jeff King","PIT","158","683","8.6%","7.9%",".295",".356",".406",".340","","105","3.5","1006931"
"2004","Rafael Palmeiro","BAL","154","651","13.2%","9.4%",".258",".359",".436",".340","","105","0.2","1266"
"2003","Jeff Conine","- - -","149","646","7.7%","10.8%",".282",".338",".459",".340","","109","1.9","131"
"2006","Tadahito Iguchi","CHW","138","627","9.4%","17.5%",".281",".352",".422",".340","","99","1.8","8581"
"2019","Corey Seager","LAD","134","541","8.1%","18.1%",".272",".335",".483",".340","","112","3.3","13624"
"1999","Rico Brogna","PHI","157","679","8.0%","19.4%",".278",".336",".454",".340","","95","1.1","1001464"
"1904","Ginger Beaumont","PIT","153","673","5.1%","",".301",".338",".374",".340","","115","3.3","1000733"
"2000","Rich Aurilia","SFG","141","571","9.5%","15.8%",".271",".339",".444",".340","","100","2.5","1106"
"2006","Ryan Freel","CIN","132","523","10.9%","18.7%",".271",".363",".399",".340","","100","3.8","1207"
"2014","Adam Jones","BAL","159","682","2.8%","19.5%",".281",".311",".469",".340","","117","4.7","6368"
"2016","Kole Calhoun","LAA","157","672","10.0%","17.6%",".271",".348",".438",".340","","117","3.5","11200"
"1924","Heinie Groh","NYG","145","635","8.2%","4.6%",".281",".354",".360",".340","","97","3.4","1005078"
"1980","Rick Peters","DET","133","546","9.9%","8.8%",".291",".369",".373",".340","","106","2.0","1010237"
"1903","John Ganzel","NYH","129","533","5.6%","",".277",".336",".378",".340","","106","2.7","1004486"
"1914","Larry Doyle","NYG","145","623","9.3%","4.0%",".260",".343",".353",".340","","111","2.9","1003467"
"2007","Ryan Zimmerman","WSN","162","722","8.4%","17.3%",".266",".330",".458",".340","","105","4.5","4220"
"1989","Darryl Strawberry","NYM","134","541","11.3%","19.4%",".225",".312",".466",".340","","121","4.3","1012606"
"2015","Russell Martin","TOR","129","507","10.5%","20.9%",".240",".329",".458",".340","","115","4.5","4616"
"2005","Tadahito Iguchi","CHW","135","582","8.1%","19.6%",".278",".342",".438",".340","","105","3.3","8581"
"1927","Ossie Bluege","WAS","146","583","9.8%","8.1%",".274",".354",".362",".340","","90","3.1","1001090"
"1924","Glenn Wright","PIT","153","662","4.1%","7.9%",".287",".318",".425",".340","","92","5.5","1014280"
"1987","Milt Thompson","PHI","150","575","7.3%","15.1%",".302",".351",".425",".340","","104","3.4","1013021"
"2005","Joe Randa","- - -","150","609","7.7%","13.3%",".276",".335",".452",".340","","107","2.0","623"
"1913","Bobby Veach","DET","137","564","9.4%","5.5%",".269",".346",".354",".340","","103","0.8","1013388"
"1991","Steve Sax","NYY","158","707","5.8%","5.4%",".304",".345",".414",".340","","110","3.7","1011481"
"1915","Fritz Maisel","NYY","135","592","8.1%","5.9%",".281",".342",".357",".340","","106","3.2","1008004"
"1914","Eddie Foster","WAS","157","684","8.8%","6.9%",".282",".348",".351",".340","","110","3.3","1004248"
"1995","Walt Weiss","COL","137","537","18.2%","10.6%",".260",".403",".321",".340","","81","1.5","1013748"
"2019","Whit Merrifield","KCR","162","735","6.1%","17.1%",".302",".348",".463",".340","","110","2.9","11281"
"1974","Willie Montanez","PHI","143","571","5.6%","10.0%",".304",".343",".410",".340","","106","1.1","1009062"
"2001","Gabe Kapler","TEX","134","556","11.0%","12.6%",".267",".348",".437",".340","","102","0.7","1256"
"1991","Mel Hall","NYY","141","527","4.9%","7.6%",".285",".321",".455",".340","","110","-0.4","1005259"
"1953","Bobby Avila","CLE","141","633","9.2%","4.3%",".286",".355",".379",".340","","103","2.8","1000380"
"1997","Matt Williams","CLE","151","636","5.3%","17.0%",".263",".307",".488",".340","","101","4.1","77"
"1972","Ken Henderson","SFG","130","484","7.9%","13.6%",".257",".317",".437",".340","","112","2.8","1005634"
"1969","Wayne Comer","SEA","147","572","14.3%","13.8%",".245",".354",".380",".340","","110","2.4","1002483"
"2018","Eddie Rosario","MIN","138","592","5.1%","17.6%",".288",".323",".479",".340","","114","3.4","12155"
"2003","Angel Berroa","KCR","158","635","4.6%","15.7%",".287",".338",".451",".340","","101","2.7","591"
"2014","Yan Gomes","CLE","135","518","4.6%","23.2%",".278",".313",".472",".340","","117","5.1","9627"
"1927","Homer Summa","CLE","145","640","5.0%","2.8%",".286",".331",".402",".340","","87","-0.4","1012717"
"2014","Adam Eaton","CHW","123","538","8.0%","15.4%",".300",".362",".401",".340","","118","3.7","11205"
"2003","Ramon Hernandez","OAK","140","536","6.2%","14.7%",".273",".331",".458",".340","","107","3.3","918"
"1903","Herm McFarland","NYH","103","423","10.9%","",".243",".333",".378",".340","","106","1.3","1008492"
"1883","Cap Anson","CHI","98","431","4.2%","2.1%",".308",".336",".419",".340","","116","2.0","1000272"
"1912","Mike Mitchell","CIN","147","612","6.7%","7.0%",".283",".333",".377",".340","","92","0.6","1009007"
"2016","Chris Davis","BAL","157","665","13.2%","32.9%",".221",".332",".459",".340","","113","2.9","9272"
"2001","Ben Grieve","TBD","154","639","13.6%","24.9%",".264",".372",".387",".340","","107","1.3","1209"
"1897","George Decker","CHI","111","465","5.2%","",".290",".333",".386",".340","","87","-0.4","1003125"
"1957","Hank Bauer","NYY","137","535","7.9%","12.0%",".259",".321",".455",".340","","113","1.7","1000679"
"1921","Bob Jones","DET","141","618","6.0%","3.9%",".303",".348",".383",".340","","87","1.8","1006530"
"1990","Dave Parker","MIL","157","669","6.1%","15.2%",".289",".330",".451",".340","","114","1.2","1010000"
"2005","Joe Mauer","MIN","131","554","11.0%","11.6%",".294",".372",".411",".340","","108","3.4","1857"
"1906","George Davis","CHW","133","541","7.6%","",".277",".338",".355",".340","","121","6.1","1003049"
"1973","Don Money","MIL","145","627","8.5%","8.5%",".284",".347",".401",".340","","112","2.7","1009052"
"1905","George Davis","CHW","151","654","9.2%","",".278",".353",".340",".340","","126","6.9","1003049"
"1916","Art Fletcher","NYG","133","542","2.4%","6.6%",".286",".323",".382",".340","","119","6.0","1004149"
"1971","Brooks Robinson","BAL","156","663","9.5%","7.5%",".272",".341",".413",".340","","113","5.8","1011055"
"1922","Jigger Statz","CHC","110","508","8.1%","6.1%",".297",".355",".366",".340","","87","1.0","1012439"
"1901","Patsy Donovan","STL","130","578","4.7%","",".303",".344",".371",".340","","107","2.7","1003399"
"1914","Fred Merkle","NYG","146","572","9.1%","14.0%",".258",".327",".375",".340","","110","2.5","1008783"
"2000","Al Martin","- - -","135","523","6.9%","16.3%",".285",".338",".452",".340","","102","0.1","1167"
"1996","Eric Karros","LAD","154","670","7.9%","18.1%",".260",".316",".479",".340","","113","2.6","659"
"2008","Skip Schumaker","STL","153","594","7.9%","10.1%",".302",".359",".406",".340","","106","1.8","3704"
"1969","Jim Fregosi","CAL","161","685","13.6%","12.6%",".260",".361",".381",".340","","114","4.4","1004330"
"2005","Eric Chavez","OAK","160","694","8.4%","18.6%",".269",".329",".466",".340","","110","5.2","906"
"1969","Bill Melton","CHW","157","628","8.9%","16.9%",".255",".326",".433",".340","","108","1.9","1008754"
"1885","George Wood","DET","82","375","3.5%","5.1%",".290",".315",".428",".340","","128","2.4","1014217"
"1872","Denny Mack","PHN","47","228","10.1%","3.9%",".288",".360",".341",".340","","114","1.6","1007915"
"2014","Albert Pujols","LAA","159","695","6.9%","10.2%",".272",".324",".466",".340","","123","2.7","1177"
"1953","Whitey Lockman","NYG","150","664","7.8%","5.4%",".295",".351",".389",".340","","93","0.6","1007694"
"1944","Oris Hockett","CLE","124","497","7.0%","5.4%",".289",".339",".381",".340","","110","1.8","1005877"
"1955","Willie Jones","PHI","146","611","12.6%","8.3%",".258",".352",".401",".340","","103","2.1","1006601"
"2011","Matt Wieters","BAL","139","551","8.7%","15.2%",".262",".328",".450",".340","","110","5.7","4298"
"2020","Charlie Blackmon","COL","59","247","7.7%","17.8%",".303",".356",".448",".340","","98","0.8","7859"
"1994","Luis Gonzalez","HOU","112","450","10.9%","12.7%",".273",".353",".429",".340","","108","1.7","55"
"2021","Mitch Haniger","SEA","157","691","7.8%","24.5%",".253",".318",".485",".340","","120","2.8","14274"
"1992","Robby Thompson","SFG","128","505","8.5%","14.9%",".260",".333",".415",".340","","118","3.0","1013023"
"1986","Oddibe McDowell","TEX","154","643","10.1%","17.4%",".266",".341",".427",".340","","106","3.1","1008474"
"1906","Willie Keeler","NYH","152","672","6.0%","",".304",".353",".338",".340","","109","2.2","1006747"
"2007","Jack Wilson","PIT","135","535","7.1%","8.6%",".296",".350",".440",".340","","102","2.5","1017"
"2018","Matt Olson","OAK","162","660","10.6%","24.7%",".247",".335",".453",".340","","119","3.5","14344"
"2016","Jay Bruce","- - -","147","589","7.5%","21.4%",".250",".309",".506",".340","","111","0.3","9892"
"2015","Justin Upton","SDP","150","620","11.0%","25.6%",".251",".336",".454",".340","","119","3.4","5222"
"1880","Jim O'Rourke","BSN","86","384","5.5%","2.1%",".275",".315",".441",".340","","141","2.5","1009839"
"1997","Paul Molitor","MIN","135","597","7.5%","12.2%",".305",".351",".435",".340","","99","0.7","1009040"
"2014","Ryan Braun","MIL","135","580","7.1%","19.5%",".266",".324",".453",".340","","113","1.1","3410"
"1915","Happy Felsch","CHW","121","496","10.3%","11.9%",".248",".334",".363",".340","","109","1.4","1003977"
"1977","Doug DeCinces","BAL","150","593","10.8%","14.5%",".259",".339",".433",".340","","116","4.2","1003123"
"1979","Billy North","SFG","142","561","17.1%","15.0%",".259",".386",".341",".340","","112","2.3","1009638"
"1974","Cesar Tovar","TEX","138","629","7.5%","5.2%",".292",".354",".377",".340","","115","2.0","1013142"
"1887","Myron Allen","CLE","117","504","7.1%","",".276",".335",".393",".340","","100","1.1","1000153"
"1998","Johnny Damon","KCR","161","710","8.2%","11.8%",".277",".339",".439",".340","","99","1.1","185"
"1920","Pete Kilduff","BRO","141","558","10.4%","7.7%",".272",".351",".360",".340","","106","3.4","1006897"
"1889","Jerry Denny","IND","133","605","4.5%","10.4%",".282",".314",".417",".340","","94","2.5","1003209"
"1970","Lou Piniella","KCR","144","586","6.0%","7.2%",".301",".342",".424",".340","","109","1.2","1010356"
"1915","Doc Johnston","PIT","147","628","6.1%","6.4%",".265",".328",".372",".340","","113","2.3","1006446"
"1873","Jimmy Wood","PWS","42","217","3.7%","0.5%",".321",".346",".383",".340","","112","0.9","1014222"
"2018","George Springer","HOU","140","620","10.3%","19.7%",".265",".346",".434",".340","","119","2.9","12856"
"2019","J.T. Realmuto","PHI","145","593","6.9%","20.7%",".275",".328",".493",".340","","107","5.7","11739"
"1941","Maurice Van Robays","PIT","129","504","8.1%","5.8%",".282",".343",".381",".340","","103","1.5","1013361"
"1900","Herman Long","BSN","125","550","8.0%","",".261",".325",".391",".340","","91","2.9","1007731"
"1971","George Scott","BOS","146","590","6.9%","17.3%",".263",".317",".441",".340","","107","2.8","1011682"
"1876","Dick Higham","HAR","67","314","0.6%","2.2%",".327",".331",".407",".340","","126","1.9","1005794"
"1935","Rollie Hemsley","SLB","144","560","7.9%","7.3%",".290",".349",".381",".340","","83","1.1","1005626"
"2007","Shane Victorino","PHI","131","510","7.3%","12.2%",".281",".347",".423",".340","","98","2.8","1677"
"1884","Ed Crane","BSU","101","442","3.2%","",".285",".308",".451",".340","","138","3.2","1002731"
"1985","Paul Molitor","MIL","140","642","8.4%","12.5%",".297",".356",".408",".340","","111","3.5","1009040"
"2007","Mark Ellis","OAK","150","642","6.9%","14.6%",".276",".336",".441",".340","","107","4.4","1443"
"1999","Quilvio Veras","SDP","132","545","11.9%","16.1%",".280",".368",".379",".340","","102","1.6","1013404"
"1874","Cap Anson","PHN","55","263","1.5%","0.4%",".336",".346",".390",".340","","119","1.9","1000272"
"2006","Eric Chavez","OAK","137","576","14.6%","17.4%",".241",".351",".435",".340","","105","3.4","906"
"1983","Tim Wallach","MON","156","647","8.5%","15.0%",".269",".335",".434",".340","","114","2.8","1013554"
"1912","Lee Magee","STL","128","523","7.5%","5.5%",".290",".347",".354",".340","","93","0.9","1007964"
"2014","Lonnie Chisenhall","CLE","142","533","7.3%","18.6%",".280",".343",".427",".340","","117","1.6","7571"
"1896","Germany Smith","CIN","120","492","5.7%","4.5%",".287",".330",".393",".340","","85","2.3","1012143"
"2002","Shea Hillenbrand","BOS","156","676","3.7%","14.1%",".293",".330",".459",".340","","105","2.2","196"
"1985","Jose Cruz","HOU","141","590","7.3%","12.5%",".300",".349",".426",".340","","121","3.1","1002841"
"1988","Gene Larkin","MIN","149","594","11.4%","9.3%",".267",".368",".382",".340","","108","1.3","1007347"
"2013","Victor Martinez","DET","159","668","8.1%","9.3%",".301",".355",".430",".340","","113","0.8","393"
"2003","Mike Cameron","SEA","147","612","11.4%","22.4%",".253",".344",".431",".340","","110","5.3","1070"
"1982","Cesar Cedeno","CIN","138","543","7.6%","7.6%",".289",".346",".413",".340","","112","0.9","1002100"
"1983","Gary Ward","MIN","157","676","6.5%","14.5%",".278",".326",".440",".340","","105","3.7","1013611"
"1966","Tommie Agee","CHW","160","689","6.0%","18.4%",".273",".326",".447",".340","","127","6.4","1000080"
"1947","Frank Baumholtz","CIN","151","711","7.9%","7.5%",".283",".341",".384",".340","","93","0.5","1000691"
"1963","Chuck Hinton","WAS","150","646","9.9%","12.2%",".269",".340",".426",".340","","113","2.8","1005852"
"2008","Alexei Ramirez","CHW","136","509","3.5%","12.0%",".290",".317",".475",".340","","102","1.0","5133"
